Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
BETHANY CHRISTIAN SERVICES - FAYETTEVILLE,1392 Plaza Place,Springdale,AR,72764,"Bethany Christian Services, Heartbeat International",https://www.bethany.org/fayetteville,,,,,,,,
HOPE PLACE WARREN,212 West Central Street,Warren,AR,71671,,http://www.bartholomewbaptist.org/hopeplace-warren.html,,,,,,,,
CONCEPTS OF TRUTH INTERNATIONAL,202 Commercial Avenue E,Wynne,AR,72396,,http://www.internationalhelpline.org/,,,,,,,,
CALAVERAS DOOR OF HOPE PREGNANCY CENTER,"571 Stanislaus Avenue, Suite J",Angels Camp,CA,95222,Care Net,http://cdohope.org/,,https://www.facebook.com/cdohope/,,,,,,
ALPHA PREGNANCY AND PARENTING SUPPORT - ARROYO GRANDE,1086 Grand Avenue,Arroyo Grande,CA,93420,,http://sloalpha.org/,,,,,,,,
ALPHA PREGNANCY AND PARENTING SUPPORT - ATASCADERO,6500 A Morro Road,Atascadero,CA,93422,,http://sloalpha.org/,,,,,,,,
TREE OF LIFE PREGNANCY SUPPORT CENTER - ATASCADERO,"7730 Morra Road, Suite #106",Atascadero,CA,93422,Care Net,http://www.treeoflifepsc.com/,,,,,,,,
BAKERSFIELD PREGNANCY CENTER,"1801 21st Street, Suite #1",Bakersfield,CA,93301,Care Net,http://www.wehelpyou.org/,,https://www.facebook.com/bakersfieldpregnancycenter,https://twitter.com/BakPregCenter,,,,https://www.instagram.com/bakersfieldpregnancy/,
BARSTOW PREGNANCY CENTER,521 East Williams Street,Barstow,CA,92311,,http://www.barstowpregnancycenter.org/,,,,,,,,
BIRTHRIGHT OF BRENTWOOD,"857 2nd Street, Suite D",Brentwood,CA,94513,Birthright International,http://birthright.org/en/landingpage/lp-brentwood,,,,,,,,
OBRIA MEDICAL CLINIC - BUENA PARK,8352 Commonwealth Avenue,Buena Park,CA,90621,Obria Medical Clinics,https://obria.org/,Yes,,,,,,,
ALPHA PREGNANCY AND PARENTING SUPPORT - CAMBRIA,870 Main Street,Cambria,CA,93428,,http://sloalpha.org/,,,,,,,,
BIRTHRIGHT OF CHICO,778 East Avenue,Chico,CA,95928,Birthright International,http://birthright.org/en/landingpage/lp-chico,,,,,,,,
WOMEN'S RESOURCE CLINIC,115 West 2nd Avenue,Chico,CA,95926,Heartbeat International,https://www.womensresourceclinic.org/,Yes,https://www.facebook.com/Womens-Resource-Clinic-134223569935367,,,,,,
BETHANY CHRISTIAN SERVICES - CHINO,"14125 Telephone Avenue, Suite #12",Chino,CA,91710,Heartbeat International,https://www.bethany.org/chino,Yes,,,,,,,
TRINITY PREGNANCY RESOURCE CENTER,305 Trinity Avenue,Chowchilla,CA,93610,Care Net,http://www.tprcenter.org/,,,,,,,,
BIRTHLINE OF SAN DIEGO - CHULA VISTA,"1220 3rd Avenue, Suite #1",Chula Vista,CA,92117,Heartbeat International,http://www.birthlineofsandiego.org/,Yes,https://www.facebook.com/BirthlineSD,,,,,,
SILENT VOICES,"355 K Street, Suite H",Chula Vista,CA,91911,Heartbeat International,http://www.silentvoices.org/,Yes,,,,,,,
GRACE ELLIOTT CENTER,2817 North Wilmington Avenue,Compton,CA,90222,,http://www.graceelliottcenter.org/,,,,,,,,
BIRTHRIGHT OF CONCORD,3106 Clayton Road,Concord,CA,94519,Birthright International,http://birthright.org/en/landingpage/lp-concord,,,,,,,,
OPTIONS FOR WOMEN OF CALIFORNIA,"5617 Clayton Road, Suite H",Concord,CA,94521,Care Net,http://www.optionsforwomenca.com/,,,,,,,,
CORONA LIFE SERVICES,"623 North Main Street, Suite D6",Corona,CA,92880,Heartbeat International,http://www.coronalife.org/,Yes,https://www.facebook.com/coronalifeservices,https://twitter.com/CoronaLifeSvc,,,,,
PREGNANCY CARE CENTER,110 West Washington Boulevard,Crescent City,CA,95531,Heartbeat International,,Yes,,,,,,,
MOUNTAIN PREGNANCY CENTER,461 South Dart Canyon Road,Crestline,CA,92325,,http://mtnpregnancy.org/,,,,,,,,
DAWNINGS PREGNANCY RESOURCE CENTER,682 South 1st Avenue,Dinuba,CA,93618,Heartbeat International,http://www.dawningsprc.com/,Yes,,,,,,,
THE LIVINGHELP CENTER,"10642 Downey Avenue, Suite #107",Downey,CA,90241,Heartbeat International,http://www.livinghelpcenter.org/,Yes,,,,,,,
FOOTHILLS PREGNANCY RESOURCE CENTER,"924 Buena Vista Street, Suite #202",Duarte,CA,91010,Heartbeat International,http://www.foothillsprc.org/,Yes,,,,,,,
PREGNANCY CARE CLINIC - EL CAJON,677 South Magnolia Avenue,El Cajon,CA,92020,Care Net,http://www.unplannedparenthood.org/,,,,,,,,
REAL HOPE CENTER,"548 West Main Street, Suite B",El Centro,CA,92243,Heartbeat International,http://www.elcentropregnancy.org/,Yes,,,,,,,
ALTERNATIVES WOMEN'S CENTER,257 East 2nd Avenue,Escondido,CA,92025,Heartbeat International,https://www.awc-ca.com/,Yes,https://www.facebook.com/alternativesmc/,,,,,,
CULTURE OF LIFE FAMILY SERVICES - ESCONDIDO,"362 West Mission Avenue, Suite #105",Escondido,CA,92025,,http://www.colfs.org/index.php,,https://www.facebook.com/colfs.sd/,,,,,,
J. ROPHE MEDICAL,2458 Buhne Street,Eureka,CA,95501,Care Net,https://www.jrophemedical.org/,,,,,,,,
PREGNANCY CARE CENTER OF THE NORTH COAST,2390 Myrtle Avenue,Eureka,CA,95501,Care Net,http://www.pcceureka.org/,,,,,,,,
ALPHA PREGNANCY CLINICS OF NORTHERN CALIFORNIA - FAIRFIELD,1044 Empire Street,Fairfield,CA,94533,Heartbeat International,http://www.alphaclinics.org/,Yes,https://www.facebook.com/alphapregnancyclinics/?__tn__=%2Cd%2CP-R&eid=ARCEDJ0GbeETc2yY8acRxxSZuKeZsC8AAeXuDzvKJinwmqB1EMB-u823OJ0lbVZ9ZJsxrJSqVvgAFuNN,,,,,,
FALLBROOK PREGNANCY RESOURCE CENTER,221 North Pico Avenue,Fallbrook,CA,92028,Heartbeat International,http://www.fallbrookprc.com/,Yes,https://www.facebook.com/homeonhawthorne/,https://twitter.com/fallbrookprc,,,,,
ASSURE PREGNANCY CLINIC,"9161 Sierra Avenue, Suite #108",Fontana,CA,92335,Heartbeat International,http://www.assurepregnancy.org/,Yes,,,,,,,
THE VINE PREGNANCY CENTER,3105 Mount Pinos Way,Frazier Park,CA,93225,,http://www.thevinepregnancycenter.org/,,,,,,,,
BETHANY CHRISTIAN SERVICES - FRESNO,"2610 West Shaw Lane, Suite #103",Fresno,CA,93711,Heartbeat International,https://www.bethany.org/fresno,Yes,,,,,,,
PREGNANCY CARE CENTER,1127 E. Olive Ave,Fresno,CA,93728,Care Net,http://pregnancycarecenter.com/,,,,,,,,
PREGNANCY CARE CENTER,"7005 North Maple Avenue, Suite 101B",Fresno,CA,93720,Care Net,http://pregnancycarecenter.com/,,,,,,,,
INFORMED CHOICES,"66 1st Street, Suite A",Gilroy,CA,95020,,http://www.informed-choices.org/,,,,,,,,
LIFE ADVOCATES,"1335 1st Street, Suite C",Gilroy,CA,95020,Heartbeat International,http://www.life-advocates.com/,Yes,,,,,,,
AVENUES PREGNANCY CLINIC OF SOUTHERN CALIFORNIA,1911 West Glenoaks Boulevard,Glendale,CA,91201,Care Net,http://avenuespc.org/,,,,,,,,
LIVINGWELL MEDICAL CLINIC,105 Catherine Lane,Grass Valley,CA,95945,Care Net,http://livingwellmedicalclinic.com/,,https://www.facebook.com/LivingWellMedicalClinic/,https://twitter.com/LivingWellMC,,,https://www.pinterest.com/LivingWellMC/,https://www.instagram.com/livingwellmedicalclinic/,
LIFELINE CRISIS PREGNANCY CENTER,1447 West Grand Avenue,Grover Beach,CA,93433,Care Net,http://lifelinepregnancycenter.org/,,,,,,,,
CROSSROADS PREGNANCY CENTER,"206 West Lacey Boulevard, Suite A",Hanford,CA,93230,Heartbeat International,https://www.crossroadscpc.com/,Yes,,,,,,https://www.instagram.com/crossroadscpc/,
LIFE CHOICE SERVICES,615 East Florida Avenue,Hemet,CA,92543,,http://www.lifechoiceservices.org/,,https://www.facebook.com/birthchoicetemecula/,https://twitter.com/birthchoicetem,,,,https://www.instagram.com/birthchoicetemecula/,
CALL FOR LIFE PREGNANCY HELP CENTER,"15800 Main Street, Suite #240",Hesperia,CA,92345,Heartbeat International,http://www.call4life.us/,Yes,,,,,,,
HOLLISTER PREGNANCY CENTER,483 5th Street,Hollister,CA,95023,Care Net,https://www.hollisterpregnancycenter.com/,,https://www.facebook.com/hollisterpregnancycenter,https://twitter.com/hollpregcenter,,https://www.youtube.com/user/hollisterpregnancy,https://www.pinterest.com/hollpregcenter/,,
HORIZON PREGNANCY CLINIC,"15061 Springdale Street, Suite #109",Huntington Beach,CA,92649,Care Net,http://www.horizonpc.org/,,https://www.facebook.com/horizonpc,https://twitter.com/Horizonpc,,,,,
LOS ANGELES PREGNANCY SERVICES - HUNTINGTON PARK,"3045 East Florence Avenue, Suite A",Huntington Park,CA,90255,Heartbeat International,http://www.lapregnancyservices.org/,Yes,,,,,,,
REFUGE PREGNANCY CENTER,81557 Dr. Carreon Boulevard,Indio,CA,92205,Heartbeat International,http://www.refugepregnancycenter.org/,Yes,https://www.facebook.com/rpcindio,https://twitter.com/refugepregnancy,,https://www.youtube.com/channel/UCSFEuPwVt5ASurLUiHnQ9rg,https://www.pinterest.com/refugepregnancycenter/,https://www.instagram.com/refugepregnancycenter/,
CLARIS HEALTH - INGLEWOOD,"575 East Hardy Street, Suite #109",Inglewood,CA,90301,,https://www.clarishealth.org/,,https://www.facebook.com/clarishealth,https://twitter.com/clarishealthla,,,,https://www.instagram.com/clarishealth/,
AMADOR PREGNANCY HELP CENTER,"34 Summit Street, Suite E",Jackson,CA,95642,Care Net,http://www.amadorpregnancyhelpcenter.com/,,,,,,,,
TURNING POINT PREGNANCY CARE CENTER,"681 South Madera Avenue, Suite #107",Kerman,CA,93630,Care Net,http://turningpointcares.net/,,,,,,,,
LIEF CENTERS OF ORANGE COUNTY - LA HABRA,"860 East La Habra Boulevard, Suite #150",La Habra,CA,90631,,http://lifecentersoforangecounty.com/,,https://www.facebook.com/LaHabraLifeCenter,,,,,,
ELSINORE VALLEY PREGNANCY RESOURCE CENTER,"31461 Riverside Drive, Suite D",Lake Elsinore,CA,92530,,http://www.evprc.org/,,,,,,,,
PREGNANCY RESOURCE CENTER OF THE KERN RIVER VALLEY,5120 Lake Isabella Boulevard,Lake Isabella,CA,93240,Care Net,http://www.kernrivervalley.com/community?lightbox=i101fu8,,,,,,,,
BETHANY CHRISTIAN SERVICES - LA MIRADA,"16700 Valley View Avenue, Suite #210",La Mirada,CA,90638,,https://www.bethany.org/la-mirada,,,,,,,,
CARE NET WOMEN'S RESOURCE CENTER OF NORTH COUNTY,44733 10th Street W,Lancaster,CA,93534,Care Net,http://avCareNet.com/,,,,,,,,
OPTIONS: A WOMEN'S CARE CENTER,"1840 North Hacienda Boulevard, Unit 13",La Puente,CA,91744,,http://www.optionslapuente.org/,,,,,,,,
BIRTHCHOICE OF THE DESERT,"79440 Corporate Center Drive, Suite #106",La Quinta,CA,92253,,http://www.desertbirthchoice.org/,,,,,,,,
BIRTHRIGHT OF LIVERMORE,"1010 Murrieta Boulevard, Suite B",Livermore,CA,94550,Birthright International,http://birthright.org/en/landingpage/lp-livermore,,,,,,,,
LIVERMORE PREGNANCY RESOURCE CENTER,"4200 East Avenue, Suite #104",Livermore,CA,94550,Care Net,http://livermoreprc.com/,,,,,,,,
PREGNANCY RESOURCE CENTER OF LODI,942 East Pine Street,Lodi,CA,95240,Care Net,http://www.prcoflodi.org/,,https://www.facebook.com/prcoflodi,,,,,,
PREGNANCY AND PARENTING SUPPORT CENTER,"1137 North H Street, Suite K",Lompoc,CA,93436,Heartbeat International,http://www.lompocpsc.org/,Yes,,,,,,,
OBRIA MEDICAL CLINIC - LONG BEACH,"261 East Willow Street, Suite C",Long Beach,CA,90806,Obria Medical Clinics,https://obria.org/,Yes,,,,,,,
CLARIS HEALTH - WEST LOS ANGELES,"11500 Olympic Boulevard, Suite #570",Los Angeles,CA,90064,,https://www.clarishealth.org/,,https://www.facebook.com/clarishealth,https://twitter.com/clarishealthla,,,,https://www.instagram.com/clarishealth/,
LOS ANGELES PREGNANCY SERVICES - LOS ANGELES,2524 West 7th Street,Los Angeles,CA,90057,Heartbeat International,http://www.lapregnancyservices.org/,Yes,,,,,,,
ALPHA PREGNANCY AND PARENTING SUPPORT - LOS OSOS,"880 Manzanita Drive, Room 18",Los Osos,CA,93402,,http://sloalpha.org/,,,,,,,,
DOORS OF HOPE RESOURCE CENTER,"500 East Almond Avenue, Suite 5A",Madera,CA,93637,,http://www.doorsofhope.org/,,,,,,,,
PREGNANCY HELP CENTER OF MANTECA,401 North Main Street,Manteca,CA,95336,Heartbeat International,http://www.mphcofmanteca.com/,Yes,,,,,,,
HELPING HANDS - MARIPOSA,"5072 Bullion Street, Suite B",Mariposa,CA,95338,Care Net,http://www.pregnancyoakhurst.com/,,,,,,,,
ALPHA PREGNANCY HELP CENTER,"700 Loughborough Drive, Suite A",Merced,CA,95340,Care Net,http://alphaphc.com/,,https://www.facebook.com/AlphaPHC,,,,,https://www.instagram.com/alphaphcmerced/,
PREGNANCY COUNSELING CENTER,10211 Sepulveda Boulevard,Mission Hills,CA,91345,Heartbeat International,https://www.pregnanthelp4u.org/,Yes,,,,,,,
OBRIA MEDICAL CLINIC - MISSION VIEJO,"28201 Marguerite Parkway, Suite #13",Mission Viejo,CA,92692,Obria Medical Clinics,https://obria.org/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - MODESTO,3048 Hahn Drive,Modesto,CA,95350,,https://www.bethany.org/modesto,,,,,,,,
MODESTO PREGNANCY CENTER,"2801 Coffee Road, Suite A5",Modesto,CA,95355,Heartbeat International,http://www.modestopregnancycenter.com/,Yes,,,,,,,
COMPASSION PREGNANCY CENTER & CLINIC OF THE MONTEREY BAY,640 Cass Street,Monterey,CA,93940,Care Net,http://montereycpc.com/,,,,,,,,
EAST LOS ANGELES PREGNANCY CENTER,2342 South Atlantic Boulevard,Monterey Park,CA,91754,,http://eastlapregnancy.com/,,,,,,,,
REALOPTIONS PERGNANCY MEDICAL CLINICS - MOUNTAIN VIEW,"298 San Antonio Road, Suite #100",Mountain View,CA,94040,Care Net,http://www.realoptions.net/,,https://business.facebook.com/realoptions.moutainview/,,,,,,
CHOICES,215 West Alma Street,Mt. Shasta,CA,96067,,https://choicesmtshasta.me/,,,https://twitter.com/choicesmtshasta?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Achoicesmtshasta&ref_url=https%3A%2F%2Fchoicesmtshasta.me%2Fabout%2F,,,,,
ALPHA PREGNANCY CLINICS OF NORTHERN CALIFORNIA - NAPA,3449 Valle Verde Drive,Napa,CA,94558,Heartbeat International,http://www.alphaclinics.org/,Yes,https://www.facebook.com/alphapregnancyclinics/?__tn__=%2Cd%2CP-R&eid=ARCEDJ0GbeETc2yY8acRxxSZuKeZsC8AAeXuDzvKJinwmqB1EMB-u823OJ0lbVZ9ZJsxrJSqVvgAFuNN,,,,,,
ALPHA PREGNANCY AND PARENTING SUPPORT - NIPOMO,298 South Thompson Avenue,Nipomo,CA,93444,,http://sloalpha.org/,,,,,,,,
OPEN ARMS PREGNANCY CLINIC,"9535 Reseda Boulevard, Suite #303",Northridge,CA,91324,Care Net,https://www.openarmspregnancy.com/,,https://www.facebook.com/Open-Arms-Pregnancy-Clinic-253717724753132/,https://twitter.com/askopenarms,,,https://www.pinterest.com/AskOpenArms/,https://www.instagram.com/open_arms_pregnancy_clinic/,
MARIN PREGNANCY CLINIC,1320A Grant Avenue,Novato,CA,94945,,http://marinpregnancyclinic.org/,,https://www.facebook.com/MarinPregnancyClinic,https://twitter.com/MarinPregClinic,,,,,
HELPING HANDS - OAKHURST,"40356 Oak Park Way, Suites A and B",Oakhurst,CA,93644,Care Net,http://www.pregnancyoakhurst.com/,,,,,,,,
SUPPORT CIRCLE PREGNANCY CLINICS - OAKLAND,"400 30th Street, Suite #401",Oakland,CA,94609,,http://www.supportcircle.org/,,https://www.facebook.com/supportcircleclinics,,,,,https://www.instagram.com/supportcircle/,
BIRTHCHOICE OF OCEANSIDE,611 Mission Avenue,Oceanside,CA,92054,Heartbeat International,http://birthchoice.net/,Yes,,,,,,,
LIFE CHOICES PREGNANCY CLINIC OF THE OJAI VALLEY,"1320 Maricopa Highway, Suite C",Ojai,CA,93023,,http://www.ojailifechoices.org/,,,,,,,,
OBRIA MEDICAL CLINIC - ORANGE,"1215 East Chapman Avenue, Suite #10",Orange,CA,92866,Obria Medical Clinics,https://obria.org/,Yes,,,,,,,
CARING FOR WOMEN PREGNANCY RESOURCE CENTER,2362 Lincoln Street,Oroville,CA,95966,Heartbeat International,http://www.caring4women.org/,Yes,,,,,,,
LIFE CENTERS OF VENTURA COUNTY,"600 North A Street, Suite A",Oxnard,CA,93030,,http://www.vclifecenters.com/,,https://www.facebook.com/freepregnancyhelp4U,https://twitter.com/vclifecenters,,https://www.youtube.com/user/LifeCenters?feature=mhum,,,
WOMEN'S CLINIC OF THE ANTELOPE VALLEY,"1334 East Palmdale Boulevard, Suite E",Palmdale,CA,93550,Heartbeat International,http://womensclinicav.com/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF PARADISE,"6585 Clark Road, Suite #320",Paradise,CA,95969,Care Net,http://www.CareNetparadise.org/,,,,,,,,
OBRIA MEDICAL CLINIC - PASADENA,445 North Lake Avenue,Pasadena,CA,91101,Obria Medical Clinics,https://obria.org/,Yes,,,,,,,
OPTIONS UNITED,"225 South Lake Avenue, Suite #300",Pasadena,CA,91101,,http://www.optionsunited.com/,,https://www.facebook.com/OptionsUnited/,,,,,https://www.instagram.com/options_united/,
BIRTHRIGHT OF PETALUMA,"1330 Commerce Street, Suite C",Petaluma,CA,94954,Birthright International,http://birthright.org/en/landingpage/lp-petaluma,,,,,,,,
PREGNANCY COUNSELING SERVICES,516 Main Street,Placerville,CA,95667,Heartbeat International,http://www.pregnancycounselingservices.org/,Yes,https://www.facebook.com/Pregnancycounselingservices/,,,,,,
VALLEY PREGNANCY CENTER,"5776 Stoneridge Mall Road, Suite #200",Pleasanton,CA,94588,Care Net,http://www.valleypregnancycenter.com/,,,,,,,,
CHOICES WOMEN'S RESOURCE CENTER,"3560 West Temple Avenue, Suite H",Pomona,CA,91768,Heartbeat International,http://choicescenter.org/,Yes,,,,,,,
PORTERVILLE PREGNANCY RESOURCE CENTER,64 West Putnam Avenue,Porterville,CA,93257,,,,https://www.facebook.com/PortervillePregnancyResorceCenter,,,,,,
LIFE CHOICES POWAY,"13412 Pomerado Road, Suite C",Poway,CA,92064,"The National Life Center, Inc.",http://sdlifechoices.org/,,,,,,,,
RAMONA PREGNANCY CARE CLINIC,"1530 Main Street, Suite #6",Ramona,CA,92065,Heartbeat International,http://www.ramonapregnancy.org/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF NORTHERN CALIFORNIA,2460 Athens Avenue,Redding,CA,96001,Care Net,http://Care Netnorcal.org/,,,,,,,,
LIFE LIGHT PREGNANCY HELP CENTER,2919 Bechelli Lane,Redding,CA,96002,,http://lifelightcenter.org/,,https://www.facebook.com/lifelightcenter/,,,,,,
SUPPORT CIRCLE PREGNANCY CLINICS - REDWOOD CITY,"801 Brewster Avenue, Suite #210",Redwood City,CA,94063,,http://www.supportcircle.org/,,,,,,,,
RIDGECREST PREGNANCY CARE CENTER,"341 East Ridgecrest Boulevard, Suite A",Ridgecrest,CA,93555,,http://www1.iwvisp.com/pcc/,,,,,,,,
RIVERSIDE LIFE SERVICES,3727 McCray Street,Riverside,CA,92506,Care Net,http://www.riversidelifeservices.org/,,https://www.facebook.com/riversidelifeservices,https://twitter.com/rivlifeservices,,,,https://www.instagram.com/rivlifeservices/,
GUADALUPE PREGNANCY SERVICES,"1168 San Gabriel Boulevard, Suites E and F",Rosemead,CA,91770,,http://www.pregnancy-gps.org/,,,,,,,,
SIERRA PREGNANCY AND HEALTH,"1212 Coloma Way, Suite A",Roseville,CA,95661,Care Net,http://www.sierraph.org/,,,,,,,,
ALTERNATIVES PREGNANCY CENTER,"1111 Howe Avenue, Suite #610",Sacramento,CA,95825,Care Net,http://www.alternativespc.org/,,,,,,,https://www.instagram.com/alternativespc/,
THE BIRTH CONNECTION,4421 A Street,Sacramento,CA,95827,,http://www.thebirthconnection.org/,,,,,,,,
SACRAMENTO LIFE CENTER,2316 Bell Executive Lane,Sacramento,CA,95825,Heartbeat International,https://saclife.org/,Yes,https://www.facebook.com/SacramentoLifeCenter,https://twitter.com/saclifecenter,,,,,
CONFIDENCE PREGNANCY CENTER,"780 East Romie Lane, Suite C",Salinas,CA,93901,Care Net,https://pregnancysalinas.com/,,,,,,,,
SAN BERNADINO PREGNANCY & FAMILY RESOURCE CENTER,"114 East Airport Drive, Suite #104",San Bernadino,CA,92408,,http://sbpfrc.com/,,,,,,,,
PREGNANCY RESOURCE CENTER,416 Avenida de la Estrella,San Clemente,CA,92672,Care Net,http://sanclementepregnancy.com/,,https://www.facebook.com/SanClementePregnancy/,,,,,https://www.instagram.com/prc_medical_clinic/?hl=en,
BIRTHLINE OF SAN DIEGO - SAN DIEGO,"3660 Clairemont Drive, Suite #4",San Diego,CA,92117,,http://www.birthlineofsandiego.org/,,,,,,,,
COLLEGE AREA PREGNANCY SERVICES (CAPS) PREGNANCY CLINICS - BEACH AREA,1856 Garnet Avenue,San Diego,CA,92109,,http://capspregnancyclinics.org/,,,,,,,,
COLLEGE AREA PREGNANCY SERVICES (CAPS) PREGNANCY CLINICS - COLLEGE AREA,"6663 El Cajon Boulevard, Suite L",San Diego,CA,92115,Heartbeat International,http://capspregnancyclinics.org/,Yes,,,,,,,
COLLEGE AREA PREGNANCY SERVICES (CAPS) PREGNANCY CLINICS - DOWNTOWN,2903 4th Avenue,San Diego,CA,92103,,http://capspregnancyclinics.org/,,,,,,,,
CULTURE OF LIFE FAMILY SERVICES - SAN DIEGO,"5030 Camino de la Siesta, Suite #106",San Diego,CA,92108,,http://www.colfs.org/index.php,,https://www.facebook.com/colfs.sd/,,,,,,
PREGNANCY CARE CLINIC - SAN DIEGO,4130 Alpha Street,San Diego,CA,92113,Care Net,http://www.unplannedparenthood.org/,,,,,,,,
TURNING POINT PREGNANCY RESOURCE CENTER,"7340 Miramar Boulevard, Suite #204",San Diego,CA,92126,,http://mmpregnancy.com/,,,,,,,,
ALPHA PREGNANCY CENTER,5070 Mission Street,San Francisco,CA,94112,,http://www.alphapc.org/,,https://www.facebook.com/Alpha-Pregnancy-Center-83160739328/,,,,,,
SUPPORT CIRCLE PREGNANCY CLINICS - SAN FRANCISCO,"450 Sutter Street, Suite #1740",San Francisco,CA,94108,,http://www.supportcircle.org/,,https://www.facebook.com/supportcircleclinics,,,,,,
ALAMEDA PREGNANCY & LIFE RESOURCE CENTER,"2175 The Alameda, Suite #207",San Jose,CA,95126,,http://www.pregnancyliferesourcecenter.net/,,,,,,,,
BIRTHRIGHT OF SAN JOSE,"1210 South Bascom Avenue, Suite #129",San Jose,CA,95128,Birthright International,http://birthright.org/en/landingpage/lp-sanjose,,,,,,,,
GUADALUPE HOPE SOCIETY WOMEN'S CENTER,"100 O'Connor Drive, Suite #1",San Jose,CA,95128,,http://ghswomenscenter.com/,,https://www.facebook.com/GHS-Womens-Center-753093431413533/,,,,,,
REALOPTIONS PERGNANCY MEDICAL CLINICS - CENTRAL SAN JOSE,"1671 The Alameda, Suite #101",San Jose,CA,95126,Care Net,http://www.realoptions.net/,,https://www.facebook.com/RealOptions.EastSanJose/,,,,,,
Birth & Beyond Women's Care,"12 North White Road, Suite #1",San Jose,CA,95127,Care Net,http://www.realoptions.net/,,https://www.facebook.com/RealOptions.EastSanJose/,,,,,,
ST. JUAN DIEGO WOMEN'S CENTER,"12 North White Road, Suite #5",San Jose,CA,95127,,http://jdwcenter.org/,,https://www.facebook.com/juandiegowomenscenter,,,,,,
